cell_line_id,cell_id
CVCL_0023,0
CVCL_0028,1
CVCL_0069,2
CVCL_0099,3
CVCL_0131,4
CVCL_0152,5
CVCL_0179,6
CVCL_0218,7
CVCL_0292,8
CVCL_0293,9
CVCL_0320,10
CVCL_0332,11
CVCL_0334,12
CVCL_0359,13
CVCL_0366,14
CVCL_0371,15
CVCL_0397,16
CVCL_0399,17
CVCL_0428,18
CVCL_0459,19
CVCL_0480,20
CVCL_0504,21
CVCL_0546,22
CVCL_1055,23
CVCL_1056,24
CVCL_1094,25
CVCL_1097,26
CVCL_1098,27
CVCL_1119,28
CVCL_1125,29
CVCL_1239,30
CVCL_1285,31
CVCL_1381,32
CVCL_1478,33
CVCL_1495,34
CVCL_1517,35
CVCL_1531,36
CVCL_1547,37
CVCL_1550,38
CVCL_1571,39
CVCL_1577,40
CVCL_1635,41
CVCL_1666,42
CVCL_1693,43
CVCL_1715,44
CVCL_1716,45
CVCL_1717,46
CVCL_1724,47
CVCL_1731,48
CVCL_C466,49
